SourceStimuliName,SourceStimuliNameArray,Brow Furrow,Cheek Raise,Inner Brow Raise,Lip Suck,Pitch
Sad,0,3.703872442,0.000149304,0.054253988,0.229256898,-19.84630775
Sad,0,4.627017021,0.000122482,0.052426144,0.231914535,-19.92783546
Sad,0,5.778954983,9.24E-05,0.050771907,0.261561781,-19.5861721
Sad,0,7.218729973,9.39E-05,0.051366657,0.281210482,-19.43674088
Sad,0,8.061826706,9.18E-05,0.049880728,0.267275691,-19.39860344
Sad,0,9.266153336,8.23E-05,0.049471382,0.257538378,-19.54923058
Sad,0,10.85957146,8.31E-05,0.049871601,0.241286144,-20.12558365
Sad,0,10.90509796,8.76E-05,0.046729464,0.222089082,-19.38732719
Sad,0,11.76146603,9.20E-05,0.047460653,0.204230309,-19.33731842
Sad,0,12.20795155,8.93E-05,0.054738931,0.21107401,-19.04429626
Sad,0,12.80062103,8.95E-05,0.06791921,0.220072031,-18.06091118
Sad,0,12.5918932,9.61E-05,0.073572114,0.196772411,-18.83177948
Sad,0,13.40526867,8.89E-05,0.07341481,0.194207028,-19.1293354
Sad,0,14.286479,8.52E-05,0.069494165,0.209639356,-18.98810005
Sad,0,14.53116894,8.06E-05,0.073364384,0.217469916,-19.09876633
Sad,0,15.365242,7.79E-05,0.076896429,0.238829419,-19.07826042
Sad,0,15.6299963,7.65E-05,0.082033619,0.34379977,-19.57522964
Sad,0,14.92041111,6.32E-05,0.080172718,0.401611805,-18.78036499
Sad,0,15.4657383,5.29E-05,0.076455541,0.445150405,-19.2253418
Sad,0,15.27370453,4.62E-05,0.078356311,0.56886518,-19.44962883
Sad,0,15.23719692,4.41E-05,0.093661293,0.732430458,-18.77755928
Sad,0,14.64551926,3.90E-05,0.100159265,1.019122839,-19.75896263
Sad,0,16.3230648,3.03E-05,0.105412498,1.48862195,-20.14902115
Sad,0,18.45093727,2.13E-05,0.103097506,2.022179127,-20.12502289
Sad,0,18.8982029,1.74E-05,0.101660043,2.836158991,-19.80510521
Sad,0,20.47896385,1.42E-05,0.097242028,3.711279392,-20.23374176
