SourceStimuliName,SourceStimuliArray,Brow Furrow,Brow Raise,Cheek Raise,Chin Raise,Dimpler,Eye Closure,Eye Widen,Inner Brow Raise,Jaw Drop,Lip Corner Depressor,Lip Press,Lip Pucker,Lip Stretch,Lip Suck,Lid Tighten,Mouth Open,Nose Wrinkle,Smile,Smirk,Upper Lip Raise
Happy,5,0.297430009,1.95E-06,0.000122092,0.034400374,0.219318688,4.47E-06,7.77E-07,0.239771396,0.144414783,0.001450609,0.221973926,0.011459303,0.015023226,5.416393757,0.404340655,0.00750888,8.10E-06,0.02448383,1.747266889,1.83E-08
Happy,5,0.294876069,2.03E-06,0.000122631,0.02991819,0.195756555,3.15E-06,6.89E-07,0.223745584,0.141913414,0.001401052,0.249435857,0.011703055,0.014565104,5.003195763,0.358248234,0.007056353,9.37E-06,0.022894198,1.743999362,2.33E-08
Happy,5,0.27788049,2.33E-06,0.000135296,0.029504009,0.178437099,4.46E-06,7.63E-07,0.227754191,0.150349483,0.001450164,0.238285497,0.013770873,0.01414962,5.164947987,0.345289022,0.006900632,8.56E-06,0.024948977,1.768677473,2.14E-08
Happy,5,0.256045938,2.60E-06,0.000163801,0.030872665,0.171016395,1.65E-06,6.25E-07,0.201161966,0.155649319,0.001510156,0.187182754,0.013821257,0.013975383,5.478671551,0.315158635,0.007117175,1.32E-05,0.029668599,1.671912193,3.64E-08
Happy,5,0.235053211,2.63E-06,0.000172343,0.031296652,0.186037108,2.07E-06,6.46E-07,0.21472241,0.159938127,0.001634901,0.193575934,0.014128318,0.013605528,5.376380444,0.305503875,0.006736381,1.52E-05,0.031275176,1.736659288,4.39E-08
Happy,5,0.225278169,2.30E-06,0.000175164,0.03170732,0.177189052,3.57E-06,7.19E-07,0.212391585,0.160969749,0.001673808,0.168711618,0.014802961,0.013120259,4.800192833,0.306073844,0.005624507,1.18E-05,0.03051522,1.744812012,3.48E-08
Happy,5,0.209234044,2.64E-06,0.000192668,0.033689421,0.178642929,1.15E-05,6.54E-07,0.196848735,0.158638045,0.001691962,0.16815564,0.013712197,0.013110004,4.525472164,0.316528231,0.00455543,1.22E-05,0.033192672,1.713981867,3.97E-08
Happy,5,0.215085819,2.79E-06,0.000209958,0.033450905,0.19806318,1.70E-05,6.54E-07,0.204607829,0.156282023,0.001749028,0.165643588,0.013566663,0.013721444,4.589137554,0.31368795,0.004705786,1.61E-05,0.035499059,1.825765014,5.67E-08
Happy,5,0.246009871,2.74E-06,0.000216482,0.033318698,0.223531723,1.16E-05,7.20E-07,0.222541884,0.157055438,0.001605477,0.18537201,0.013321852,0.013649631,4.377723217,0.323659688,0.005527087,2.50E-05,0.034036316,1.951835871,8.58E-08
Happy,5,0.255010068,2.87E-06,0.000236388,0.03429196,0.237663329,9.57E-06,7.44E-07,0.22561948,0.15370965,0.001543747,0.197717384,0.012826012,0.01309018,4.46856451,0.340211779,0.005786878,3.28E-05,0.036478404,2.08643508,1.12E-07
Happy,5,0.254403055,2.96E-06,0.000247292,0.032550998,0.234677121,1.04E-05,7.90E-07,0.24224022,0.151234135,0.001524247,0.235507637,0.012392485,0.013085811,4.102389336,0.365856707,0.005681888,3.80E-05,0.037747379,2.143796921,1.31E-07
Happy,5,0.22280018,2.67E-06,0.000258329,0.032442845,0.219700739,9.85E-06,7.53E-07,0.254304796,0.154139325,0.00147855,0.216134787,0.013360869,0.013391787,3.714681387,0.354373425,0.005278636,2.50E-05,0.039225299,2.230237246,8.72E-08
Happy,5,0.20865421,2.82E-06,0.000272725,0.031931866,0.213091478,1.82E-05,6.25E-07,0.23581098,0.149673745,0.001501638,0.220133409,0.013075197,0.013187325,3.445485115,0.340276152,0.005027693,2.56E-05,0.041512024,2.215593815,9.24E-08
Happy,5,0.231445894,2.52E-06,0.000230017,0.032491628,0.234169707,2.32E-05,5.58E-07,0.233725443,0.144506812,0.001495087,0.289257079,0.012455237,0.013220148,3.588137388,0.332755417,0.005055072,2.36E-05,0.035336144,2.327842236,7.67E-08
Happy,5,0.242914662,2.30E-06,0.000208229,0.032697961,0.231492028,5.09E-05,5.04E-07,0.217084512,0.137842491,0.001457825,0.314467132,0.012361244,0.013766224,3.608246803,0.32895118,0.004684965,1.99E-05,0.032165665,2.387450218,5.69E-08
Happy,5,0.26669088,2.00E-06,0.000176798,0.034410555,0.24146229,4.70E-05,6.53E-07,0.215107724,0.129163414,0.001335129,0.265966892,0.011897059,0.013658954,3.910172224,0.338318855,0.004845494,1.29E-05,0.026944268,2.302471638,3.23E-08
Happy,5,0.244555652,2.54E-06,0.000203502,0.036244612,0.239241391,4.59E-05,7.51E-07,0.206078827,0.133487374,0.001443845,0.266851008,0.012258163,0.013117131,3.900054932,0.34413141,0.004858945,1.03E-05,0.03035919,2.262364864,2.86E-08
Happy,5,0.27145052,2.97E-06,0.000217347,0.036811732,0.213551298,3.17E-05,7.47E-07,0.187710091,0.126319066,0.001493891,0.211902529,0.011655291,0.012290583,3.692324877,0.351994276,0.004770121,1.29E-05,0.030779384,2.211233616,3.59E-08
